Name;Age;Nat;Team;Game Played;Goal;Assist;Points;Plus Minus;Position1;Salary;TOI.GP;PIM;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;sDist;SA;Grit;iBLK;BLK.;iSCF;SF;SH.;SCA;FO.;X.FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL
Ryan Johansen;24;CAN;NSH;82;14;47;61;1;C;6000000;18.8;60;0;0;1;3;2;0;8;7;0;16;21;7;2;101;28.2;669;167;28;0.023;54;953;0.094;168;0.546;0.896;233;184;255;237;315;248
Marcus Johansson;26;SWE;WSH;82;24;34;58;25;LW;4250000;17;10;1;2;2;5;4;0;10;15;2;14;26;9;1;62;26.3;528;64;22;0.022;55;795;0.121;161;0.464;0.022;0;2;4;2;9;11
Stephen Johns;24;USA;DAL;61;4;6;10;-10;D;650000;18.2;36;0;0;1;0;0;0;3;5;0;30;7;0;0;49;48.9;512;327;130;0.117;4;500;0.074;155;0;0;0;0;0;0;0;0
Erik Johnson;28;USA;COL;46;2;15;17;-6;D;6000000;22;9;0;0;0;1;0;0;1;6;0;30;10;0;1;49;50.1;530;195;98;0.102;4;503;0.076;189;0;0;0;0;0;0;0;0
Jack Johnson;29;USA;CBJ;82;5;18;23;23;D;5000000;21.8;32;0;0;0;1;1;0;3;7;1;38;26;1;1;42;48.9;1022;260;134;0.071;10;890;0.087;300;1;0.001;1;0;0;0;0;0
Tyler Johnson;26;USA;T.B;66;19;26;45;-5;C;4000000;18.8;28;1;0;2;1;6;0;9;8;2;9;18;13;0;80;28.2;633;104;30;0.028;49;640;0.109;178;0.52;0.849;204;171;162;181;217;187
Ryan Johnston;24;CAN;MTL;7;0;0;0;-3;D;692500;9.9;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;53.3;40;7;2;0.029;1;35;0;14;0;0;0;0;0;0;0;0
Jussi Jokinen;33;FIN;FLA;69;11;17;28;-15;LW;4000000;17.4;39;0;0;0;1;0;1;9;9;3;13;22;9;1;61;35.2;593;101;33;0.034;34;691;0.067;158;0.521;0.112;19;19;16;10;40;40
Jyrki Jokipakka;25;FIN;CGY;41;1;5;6;-4;D;900000;14.4;12;0;0;0;0;0;0;1;0;0;14;2;0;0;13;50;302;75;32;0.056;0;263;0.068;90;0;0;0;0;0;0;0;0
Connor Jones;26;CAN;NYI;4;0;0;0;1;C;575000;11.8;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;62.5;18;18;3;0.083;0;17;0.059;4;0.615;0.361;4;1;4;2;0;2
Seth Jones;22;USA;CBJ;75;12;30;42;6;D;5400000;23.4;24;0;0;3;1;0;0;8;4;0;50;28;2;0;68;49;815;203;118;0.075;10;872;0.086;263;0;0;0;0;0;0;0;0
Josh Jooris;26;CAN;ARI;54;4;8;12;-2;RW;600000;12.2;16;0;0;0;0;1;0;3;8;0;10;6;4;3;44;37.6;404;95;30;0.039;12;271;0.07;116;0.493;0.699;88;105;75;76;59;47
Jacob Josefson;25;SWE;N.J;38;1;9;10;-1;C;1100000;12.2;16;0;0;0;0;1;0;0;8;0;1;10;5;1;19;26.2;223;59;12;0.03;16;209;0.086;67;0.518;0.765;64;56;56;57;42;38
Roman Josi;26;CHE;NSH;72;12;37;49;7;D;4250000;25;18;1;0;6;2;0;0;3;14;1;79;27;2;0;95;45;875;191;119;0.074;19;1003;0.1;231;0;0;0;0;0;0;0;0
Tyson Jost;18;CAN;COL;6;1;0;1;-5;C;900000;15.7;0;0;0;0;0;0;0;1;2;0;1;2;0;0;4;27.9;52;6;3;0.032;2;48;0.042;13;0.4;0.875;9;15;11;13;8;14
Tomas Jurco;24;SVK;CHI;29;1;0;1;-12;LW;950000;10.6;4;0;0;0;0;0;0;1;2;0;2;2;2;1;26;21.2;134;34;9;0.034;20;147;0.014;29;0;0.004;0;0;0;0;0;1
Nazem Kadri;26;CAN;TOR;82;32;29;61;-7;C;5000000;16.5;95;4;0;0;4;5;0;19;18;2;3;64;30;4;115;28.3;656;253;31;0.026;105;809;0.104;170;0.48;0.788;166;206;234;236;143;145
Sergey Kalinin;25;RUS;N.J;43;2;2;4;-14;C;800000;12.7;15;0;0;0;0;2;0;0;8;0;1;6;7;0;16;23.5;307;89;20;0.037;17;181;0.028;84;0.414;0.339;32;52;30;26;10;24
Vladislav Kamenev;20;RUS;NSH;2;0;0;0;-1;LW;742500;10.1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;64;11;4;1;0.059;0;7;0;2;0.462;0.867;0;3;4;2;2;2
Steven Kampfer;28;USA;FLA;11;1;1;2;-2;D;625000;13.2;6;0;0;1;0;0;0;0;0;0;4;2;0;0;4;61.4;82;40;10;0.083;0;77;0.052;24;0;0;0;0;0;0;0;0
Evander Kane;25;CAN;BUF;70;28;15;43;-17;LW;6000000;19.2;113;0;1;1;6;2;1;17;25;2;12;42;16;8;155;32.2;749;252;29;0.022;66;725;0.079;216;0.451;0.099;5;10;16;19;34;38
Patrick Kane;28;USA;CHI;82;34;55;89;11;RW;13800000;21.3;32;4;0;2;6;1;1;20;41;2;26;32;6;3;182;27.7;817;75;15;0.011;68;1020;0.112;237;0.137;0.033;0;0;0;3;7;41
Kasperi Kapanen;20;FIN;TOR;8;1;0;1;-2;RW;925000;10.7;0;0;0;0;1;0;0;0;1;0;1;5;1;0;3;28.2;38;8;2;0.026;3;32;0.031;11;0;0;0;0;0;0;0;0
Michael Kapla;22;USA;N.J;5;0;0;0;-1;D;925000;17.4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;60;48;10;5;0.071;0;45;0.044;17;0;0;0;0;0;0;0;0
Erik Karlsson;26;SWE;OTT;77;17;54;71;10;D;7000000;26.8;28;0;0;4;2;0;0;11;5;0;81;35;3;0;94;48.5;987;296;201;0.106;21;1127;0.095;284;0;0;0;0;0;0;0;0
Melker Karlsson;26;SWE;S.J;67;11;11;22;7;C;1850000;12.8;22;1;2;1;0;3;0;4;6;5;6;4;7;0;45;25.1;408;148;59;0.069;38;331;0.085;143;0.167;0.008;0;0;0;2;1;3
William Karlsson;23;SWE;CBJ;81;6;19;25;10;C;1000000;13.4;10;1;0;0;1;0;0;4;13;3;8;23;5;0;44;26;602;69;24;0.022;39;490;0.088;193;0.453;0.881;182;270;141;134;112;121
Ondrej Kase;21;CZE;ANA;53;5;10;15;-1;RW;645000;11.8;18;3;0;0;0;1;0;1;11;0;7;12;6;2;39;26.1;272;74;14;0.027;26;331;0.063;77;0.143;0.012;0;0;0;1;1;5
Zack Kassian;25;CAN;EDM;79;7;17;24;4;RW;1500000;12.3;101;3;0;1;1;1;0;1;18;1;12;22;10;8;39;28.3;516;325;16;0.017;39;425;0.087;169;0.364;0.012;1;1;1;2;2;4
Bracken Kearns;35;CAN;NYI;2;0;0;0;-1;C;800000;11.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;50.7;15;9;2;0.067;0;8;0;4;0.588;0.944;2;3;5;3;3;1
Duncan Keith;33;CAN;CHI;80;6;47;53;22;D;6000000;25.5;16;0;0;6;0;0;0;0;3;1;141;10;1;0;27;53;1047;147;107;0.057;9;1068;0.096;344;0;0;0;0;0;0;0;0
Clayton Keller;18;USA;ARI;3;0;2;2;-3;C;900000;12.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;8;0.25;12;0;0;0;0;0;0;0;0
Chris Kelly;36;CAN;OTT;82;5;7;12;-17;C;900000;11.9;23;1;1;0;0;0;0;3;10;3;9;10;4;2;48;40.1;542;143;48;0.042;25;349;0.043;142;0.445;0.54;86;106;85;91;52;81
Adrian Kempe;20;SWE;L.A;25;2;4;6;-3;LW;925000;12.2;6;0;0;0;2;0;0;0;3;1;3;5;0;0;20;33.8;112;36;7;0.031;10;151;0.066;44;0.438;0.565;23;26;12;27;32;33
Michal Kempny;26;CZE;CHI;50;2;6;8;1;D;NA;15;22;0;0;2;0;0;0;0;0;0;37;2;0;0;28;51.6;350;157;59;0.089;1;390;0.072;95;0;0;0;0;0;0;0;0
Nicolas Kerdiles;22;USA;ANA;1;0;0;0;1;LW;925000;11.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;2;0.125;1;5;0.4;3;1;0.091;1;0;0;0;0;0
Tanner Kero;24;USA;CHI;47;6;10;16;15;C;667500;13.5;8;0;0;0;0;0;0;6;6;1;4;6;4;1;38;27.5;355;100;51;0.072;24;292;0.103;101;0.444;0.849;81;113;79;84;49;65
Ryan Kesler;32;USA;ANA;82;22;36;58;8;C;7875000;21.3;83;1;0;1;1;7;1;11;26;2;10;15;41;3;89;21.5;870;307;75;0.045;119;962;0.095;312;0.574;0.865;429;344;314;213;286;207
Phil Kessel;29;USA;PIT;82;23;47;70;3;RW;9000000;17.9;20;1;0;1;5;0;0;16;8;1;7;66;5;1;141;31;723;47;15;0.012;68;928;0.109;225;0.333;0.01;1;0;2;0;2;10
Jujhar Khaira;22;CAN;EDM;10;1;0;1;1;LW;832500;9.2;2;0;0;0;0;1;0;0;1;0;1;1;3;0;4;25.2;29;27;5;0.071;5;42;0.048;9;0.368;0.232;4;1;3;3;0;8
Alex Killorn;27;CAN;T.B;81;19;17;36;-9;LW;4450000;18;66;2;0;2;0;2;0;13;23;1;18;27;9;0;99;30.8;679;192;25;0.021;54;732;0.096;159;0.333;0.009;0;1;0;1;4;6
Jakub Kindl;29;CZE;FLA;39;0;4;4;-11;D;3000000;14.7;28;0;0;0;0;0;0;0;0;0;21;5;0;0;15;54.9;309;114;37;0.07;0;283;0.064;75;0;0;0;0;0;0;0;0
Dwight King;27;CAN;L.A;80;9;7;16;-2;LW;2100000;14.4;12;3;0;0;0;2;1;3;15;2;6;15;10;3;59;30.8;546;160;28;0.027;39;506;0.063;159;0.25;0.016;0;3;1;1;3;8
Oscar Klefbom;23;SWE;EDM;82;12;26;38;7;D;3000000;22.3;6;1;0;7;3;0;0;1;8;0;85;35;0;0;73;48.8;863;195;146;0.089;11;979;0.108;302;0;0;0;0;0;0;0;0
Kevin Klein;32;CAN;NYR;60;3;11;14;5;D;2750000;17.6;31;0;0;3;0;0;0;0;0;0;27;7;0;0;20;50.8;544;292;123;0.118;7;493;0.103;166;0;0;0;0;0;0;0;0
John Klingberg;24;SWE;DAL;80;13;36;49;2;D;2750000;23.3;34;1;1;2;1;0;0;8;11;1;16;7;0;0;89;46.7;868;193;117;0.071;24;1048;0.106;277;1;0.001;0;0;0;0;1;0
Slater Koekkoek;22;CAN;T.B;29;0;4;4;-4;D;832500;13;8;0;0;0;0;0;0;0;2;0;5;5;0;1;14;49.9;191;60;27;0.077;0;171;0.07;57;0;0;0;0;0;0;0;0
Mikko Koivu;33;FIN;MIN;80;18;40;58;27;C;5400000;19.1;34;1;0;4;2;0;0;10;13;2;19;14;11;2;78;26;745;131;65;0.046;60;763;0.126;175;0.552;0.977;392;377;282;210;264;174
Leo Komarov;29;FIN;TOR;82;14;18;32;6;C;2950000;17;31;2;0;0;3;5;0;4;13;0;9;34;21;0;37;27.4;737;314;50;0.036;60;687;0.116;242;0.45;0.133;52;64;21;21;18;25
Travis Konecny;19;CAN;PHI;70;11;17;28;-2;C;925000;14.1;49;2;0;0;3;3;0;3;16;1;7;41;7;0;61;28.5;481;168;26;0.029;44;538;0.078;141;0;0.006;0;0;0;1;0;4
Anze Kopitar;29;SVN;L.A;76;12;40;52;-10;C;14000000;20.8;28;1;0;2;3;1;0;5;13;0;9;33;10;2;83;28.5;676;165;59;0.046;68;853;0.083;205;0.527;0.902;302;275;289;252;301;274
Lauri Korpikoski;30;FIN;CBJ;69;8;12;20;5;LW;1000000;12.4;10;2;0;0;1;1;0;4;17;0;5;11;7;0;68;31.8;482;83;36;0.038;36;382;0.084;147;0;0.009;0;1;0;1;0;5
Kalle Kossila;23;FIN;ANA;1;0;0;0;0;LW;925000;6.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;2;1;0;0;0;2;0;0;0.429;1;0;0;3;1;0;3
Chris Kreider;25;USA;NYR;75;28;25;53;6;LW;5000000;17;58;2;1;2;5;9;0;9;16;5;9;41;31;1;83;23.2;497;222;30;0.032;109;788;0.095;130;0.556;0.007;1;1;0;0;4;3
David Krejci;30;CZE;BOS;82;23;31;54;-12;C;7250000;18.2;26;2;1;4;4;1;0;11;8;2;26;39;11;2;70;32.9;617;117;51;0.043;63;881;0.083;171;0.515;0.853;196;182;211;233;251;203
Niklas Kronwall;35;SWE;DET;57;2;11;13;-7;D;5500000;19.4;32;0;0;1;1;0;0;0;4;0;28;8;1;0;26;43.5;547;190;81;0.086;10;573;0.08;152;0;0;0;0;0;0;0;0
Torey Krug;25;USA;BOS;81;8;43;51;-10;D;5000000;21.5;37;0;0;2;0;2;0;4;2;0;73;36;5;0;92;48.2;650;181;82;0.066;16;1103;0.083;171;0;0.001;0;0;0;1;0;0
Marcus Kruger;26;SWE;CHI;70;5;12;17;7;C;3475000;14;34;0;0;0;0;1;0;4;9;0;2;5;7;3;57;32.7;497;127;62;0.062;24;429;0.075;183;0.491;0.635;171;202;115;102;71;66
Nikita Kucherov;23;RUS;T.B;74;40;45;85;13;RW;4250000;19.4;38;2;0;8;6;2;0;22;12;2;61;40;9;2;120;32.2;590;90;20;0.02;73;860;0.12;138;0;0;0;0;0;0;0;0
Tom Kuhnhackl;24;DEU;PIT;57;4;12;16;8;RW;590000;10.6;18;1;0;0;0;1;0;2;5;0;3;10;3;0;28;26.5;339;172;42;0.063;22;220;0.105;126;0.5;0.006;1;0;1;1;0;1
Brett Kulak;22;CAN;CGY;21;0;3;3;-3;D;680000;14.2;12;0;0;0;0;0;0;0;0;0;8;6;0;0;5;54.7;152;39;13;0.05;1;134;0.052;33;0;0;0;0;0;0;0;0
Nikolay Kulemin;30;RUS;NYI;72;12;11;23;3;LW;4250000;13.8;18;1;1;2;1;1;0;6;7;2;6;10;5;0;44;25.9;532;141;45;0.043;34;423;0.106;179;0.519;0.027;5;6;6;3;3;4
Dmitry Kulikov;26;RUS;BUF;47;2;3;5;-26;D;4500000;21.9;26;0;0;2;0;0;0;0;1;0;22;6;1;0;12;55.9;614;158;72;0.067;0;473;0.042;150;0;0;0;0;0;0;0;0
Chris Kunitz;37;CAN;PIT;71;9;20;29;0;LW;3550000;15.5;36;1;0;0;3;0;0;5;12;0;13;26;5;0;78;28.5;587;280;28;0.027;56;625;0.074;163;0.231;0.012;0;2;0;3;3;5
Sean Kuraly;23;USA;BOS;8;0;1;1;-1;C;692500;9.2;2;0;0;0;0;0;0;0;1;1;0;3;0;0;6;33.9;30;12;1;0.02;3;40;0.025;8;0.333;0.039;0;0;0;2;1;0
Evgeny Kuznetsov;24;RUS;WSH;82;19;40;59;18;C;3400000;16.9;46;2;1;0;5;1;0;10;12;3;12;32;5;1;105;26.7;609;121;18;0.016;78;761;0.108;190;0.44;0.853;102;134;182;218;172;229
Kevin Labanc;21;USA;S.J;55;8;12;20;9;RW;667500;13.7;22;0;0;1;2;0;0;5;4;5;10;12;1;2;36;27.5;321;55;14;0.021;33;370;0.095;98;0.5;0.006;0;0;1;0;1;2
Joseph Labate;23;USA;VAN;13;0;0;0;-2;C;680000;6.8;21;0;0;0;0;0;0;0;0;0;0;0;0;1;4;32;44;49;2;0.022;1;32;0.063;7;1;0.014;0;0;0;0;1;0
Andrew Ladd;31;CAN;NYI;78;23;8;31;-14;LW;8000000;16.2;45;0;1;1;5;0;0;16;8;1;5;30;11;0;87;29.6;607;212;54;0.044;61;621;0.077;188;0.4;0.009;2;0;0;3;2;3
Paul Ladue;24;USA;L.A;22;0;8;8;-5;D;925000;15.4;4;0;0;0;0;0;0;0;2;0;5;4;0;0;16;47.9;135;34;13;0.053;1;181;0.088;46;0;0;0;0;0;0;0;0
Patrik Laine;18;FIN;WPG;73;36;28;64;7;RW;925000;17.8;26;0;0;8;8;2;0;18;4;1;50;36;5;0;108;39.9;606;139;33;0.031;32;693;0.131;179;0;0.003;0;1;0;0;0;2
Anton Lander;25;SWE;EDM;22;1;3;4;2;C;1050000;9.8;6;0;0;1;0;0;0;0;1;0;1;3;1;0;6;34;110;41;7;0.033;3;89;0.101;41;0.56;0.566;49;44;15;8;15;10
Gabriel Landeskog;24;SWE;COL;72;18;15;33;-25;LW;5500000;18.7;62;0;2;2;1;3;1;9;18;5;11;14;9;4;108;30.1;649;250;41;0.036;52;677;0.071;180;0.496;0.09;0;4;6;8;56;51
Nick Lappin;24;USA;N.J;43;4;3;7;-17;RW;842500;11.8;17;1;0;0;0;0;0;3;2;0;7;16;3;1;28;31.9;269;65;11;0.023;21;210;0.067;71;0.286;0.015;1;1;1;1;0;3
Dylan Larkin;20;USA;DET;80;17;15;32;-28;C;925000;16.1;37;2;1;3;2;0;0;9;26;2;14;30;3;0;103;31;592;127;22;0.021;47;656;0.07;179;0.454;0.354;59;62;71;95;66;79
Philip Larsen;27;DNK;VAN;26;1;5;6;-8;D;1025000;16.4;4;0;0;1;0;0;0;0;0;1;15;0;1;0;15;50.1;216;38;22;0.061;4;217;0.06;65;0;0;0;0;0;0;0;0
Adam Larsson;24;SWE;EDM;79;4;15;19;21;D;3000000;20.1;55;0;0;1;0;0;0;3;0;0;30;17;0;0;38;52.2;831;469;160;0.101;3;772;0.098;280;0;0;0;0;0;0;0;0
Jacob Larsson;19;SWE;ANA;4;0;0;0;-1;D;925000;16.4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;56;38;4;1;0.015;0;22;0;10;0;0;0;0;0;0;0;0
Johan Larsson;24;SWE;BUF;36;6;5;11;-7;C;950000;16.8;20;0;1;0;0;3;0;2;3;1;0;5;10;0;30;26.2;350;76;23;0.037;31;270;0.078;96;0.49;0.899;111;118;86;111;64;43
Brian Lashoff;26;USA;DET;5;0;0;0;-3;D;650000;12.5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;48;22;12;4;0.1;0;27;0.037;8;0;0;0;0;0;0;0;0
Scott Laughton;22;CAN;PHI;2;0;0;0;0;C;832500;10.2;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;30.5;6;3;0;0;3;18;0.111;3;0.55;0.833;5;3;1;3;5;3
Curtis Lazar;21;CAN;CGY;37;1;3;4;-8;C;832500;9.1;4;0;0;0;0;0;0;1;6;0;2;3;3;0;12;24.7;163;87;17;0.05;9;126;0.063;41;0.394;0.337;12;18;15;25;12;17
Nick Leddy;25;USA;NYI;81;11;35;46;-3;D;4500000;22.7;12;0;0;6;0;0;0;5;9;0;56;17;1;0;54;45.4;967;198;109;0.064;14;999;0.093;305;0;0;0;0;0;0;0;0
Anders Lee;26;USA;NYI;81;34;18;52;9;LW;3500000;15.6;56;5;3;5;1;4;1;15;36;6;15;20;27;2;85;23.8;569;264;34;0.032;98;787;0.098;184;0.389;0.014;0;1;2;5;5;5
Artturi Lehkonen;21;FIN;MTL;73;18;10;28;-1;LW;667500;13.9;8;3;1;4;2;0;1;7;16;3;10;17;6;9;97;28.1;489;105;25;0.029;58;518;0.085;140;0.5;0.004;0;1;1;0;1;1
Jori Lehtera;29;FIN;STL;64;7;15;22;-6;C;4400000;15.2;34;0;0;0;0;3;0;4;12;0;5;4;7;1;38;22.4;451;127;29;0.035;35;491;0.1;111;0.492;0.882;81;106;136;130;192;187
Taylor Leier;22;CAN;PHI;10;1;1;2;-1;LW;768150;9.1;4;0;0;0;0;0;0;1;1;0;0;1;1;1;3;19.3;41;11;0;0;2;29;0.069;10;0;0.012;0;0;0;0;0;1
Josh Leivo;23;CAN;TOR;13;2;8;10;2;LW;575000;12.6;4;0;0;0;1;1;0;0;0;1;0;15;4;0;7;26.8;68;13;4;0.033;18;114;0.096;19;0.5;0.012;0;0;0;1;1;0
Brett Lernout;21;CAN;MTL;2;0;0;0;-1;D;660000;19;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;67.7;14;11;3;0.12;0;18;0.056;3;0;0;0;0;0;0;0;0
Kris Letang;29;CAN;PIT;41;5;29;34;2;D;7250000;25.5;32;0;0;1;1;1;0;2;3;1;30;12;2;0;74;45.4;539;172;70;0.076;15;637;0.096;198;0;0;0;0;0;0;0;0
Mark Letestu;31;CAN;EDM;78;16;19;35;-2;C;1800000;14.2;17;1;2;2;5;1;0;4;12;2;20;28;9;0;49;28.8;562;123;34;0.032;54;531;0.117;195;0.504;0.683;239;249;80;79;133;116
Trevor Lewis;29;USA;L.A;82;12;12;24;-6;C;2000000;14.3;30;2;1;0;1;1;0;7;16;1;4;22;5;5;92;31.4;487;234;30;0.032;46;547;0.066;146;0.4;0.1;7;13;15;27;22;26
Mike Liambas;27;CAN;NSH;1;0;0;0;-1;LW;575000;4.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
John-Michael Liles;36;USA;BOS;36;0;5;5;1;D;2000000;16.2;4;0;0;0;0;0;0;0;0;0;16;10;0;0;10;52.3;243;70;41;0.088;1;305;0.066;55;1;0.004;1;0;0;0;1;0
Oscar Lindberg;25;SWE;NYR;65;8;12;20;2;C;700000;10.8;32;0;0;0;2;1;0;5;12;0;2;19;3;0;50;29.8;348;162;36;0.055;26;302;0.093;112;0.52;0.906;108;99;108;111;83;66
Petteri Lindbohm;23;FIN;STL;7;0;0;0;-4;D;645000;13;4;0;0;0;0;0;0;0;0;0;1;2;0;0;7;47.3;48;19;5;0.055;0;60;0.033;13;0;0;0;0;0;0;0;0
Esa Lindell;22;FIN;DAL;73;6;12;18;8;D;802500;21.8;22;0;0;0;0;1;0;5;0;0;19;22;2;0;56;46.9;814;234;119;0.075;11;750;0.089;268;0;0.001;0;1;0;0;0;0
Anton Lindholm;22;SWE;COL;12;0;0;0;-8;D;667500;14.8;2;0;0;0;0;0;0;0;1;0;3;0;1;0;2;63.1;91;52;12;0.077;1;71;0.056;31;0;0;0;0;0;0;0;0
Elias Lindholm;22;SWE;CAR;72;11;34;45;-2;C;2500000;18.1;16;0;0;0;4;0;0;7;7;5;7;49;13;0;70;27.3;547;158;43;0.04;80;677;0.096;208;0.556;0.499;122;106;86;51;145;125
Hampus Lindholm;22;SWE;ANA;66;6;14;20;13;D;3000000;22.4;36;0;0;1;2;1;0;2;1;0;33;12;1;1;46;48.5;647;228;94;0.073;11;746;0.083;221;1;0.001;0;0;1;0;1;0
Bryan Little;29;CAN;WPG;59;21;26;47;-7;C;5000000;17.5;18;5;1;1;3;3;0;8;17;11;13;20;11;0;47;24.9;502;76;23;0.025;53;589;0.109;147;0.556;0.946;178;170;203;146;229;171
Matt Lorito;26;CAN;DET;2;0;1;1;0;LW;NA;14.3;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3;22.8;11;0;0;0;2;12;0.083;6;0;0;0;0;0;0;0;0
Ben Lovejoy;32;USA;N.J;82;1;6;7;-7;D;2500000;20.7;39;0;0;1;0;0;0;0;1;0;42;19;1;0;21;53.2;956;272;150;0.082;7;636;0.058;281;0;0;0;0;0;0;0;0
Adam Lowry;23;USA;WPG;82;15;14;29;1;C;1000000;16;52;3;0;0;2;0;0;10;14;6;3;13;4;0;82;24.4;695;327;56;0.044;81;623;0.088;215;0.508;0.912;293;299;215;195;150;143
Milan Lucic;28;CAN;EDM;82;23;27;50;-3;LW;8000000;17.1;50;1;1;1;3;5;0;12;19;3;12;43;23;4;71;26.1;594;278;20;0.018;89;829;0.104;201;0.571;0.005;0;1;0;1;4;1
Roman Lyubimov;24;RUS;PHI;47;4;2;6;-2;LW;NA;9.6;8;0;0;1;1;0;0;2;4;0;6;5;2;2;22;33.1;209;52;16;0.039;16;181;0.066;52;0.143;0.019;0;0;1;2;0;4
Olli Maatta;22;FIN;PIT;55;1;6;7;17;D;4083300;18.1;12;0;0;0;0;0;0;1;1;0;30;3;0;0;32;56.9;575;186;102;0.094;1;510;0.09;163;0;0;0;0;0;0;0;0
Clarke MacArthur;31;CAN;OTT;4;0;0;0;-1;LW;4500000;13.5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;34.8;20;5;1;0.027;0;26;0;6;0;0.023;0;0;0;0;0;1
Andrew MacDonald;30;CAN;PHI;73;2;16;18;-5;D;4750000;20.1;26;0;0;2;0;0;0;0;2;0;32;6;1;0;24;50.2;759;216;151;0.098;6;583;0.065;218;0;0;0;0;0;0;0;0
Derek MacKenzie;35;CAN;FLA;82;6;10;16;-7;C;1300000;12.6;50;0;0;2;0;1;0;3;12;1;24;9;7;0;38;36.3;618;289;45;0.041;23;408;0.064;195;0.5;0.741;192;210;120;115;74;61
Nathan MacKinnon;21;CAN;COL;82;16;37;53;-14;C;5000000;19.9;16;4;1;0;1;0;0;10;23;1;16;28;11;3;169;31.6;833;102;30;0.02;76;930;0.088;226;0.506;0.807;247;269;268;293;254;190
Denis Malgin;19;CHE;FLA;47;6;4;10;-5;C;640000;11.2;8;0;0;2;2;0;0;2;7;2;18;9;1;0;30;31.7;245;57;15;0.036;21;283;0.057;74;0.364;0.411;16;23;37;54;14;40
Evgeni Malkin;30;RUS;PIT;62;33;39;72;18;C;9500000;18.6;77;2;0;6;5;3;1;15;17;2;34;31;13;2;92;25.7;545;143;25;0.027;81;763;0.122;147;0.431;0.722;57;97;132;185;176;199
Sean Malone;21;USA;BUF;1;0;0;0;0;C;925000;12.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;5;1;1;0.167;1;6;0;2;0.625;0.889;1;1;2;1;2;1
Brandon Manning;26;CAN;PHI;65;3;9;12;-12;D;950000;18.1;83;1;0;0;1;0;0;1;2;0;30;17;0;0;35;50.9;587;292;79;0.072;9;534;0.067;196;0;0.001;0;1;0;0;0;0
Josh Manson;25;CAN;ANA;82;5;12;17;14;D;825000;18.6;82;1;0;0;2;1;0;1;1;0;18;10;3;2;54;43.5;737;394;79;0.055;10;694;0.085;263;0;0;0;0;0;0;0;0
Anthony Mantha;22;CAN;DET;60;17;19;36;10;RW;832500;15.8;53;2;0;0;7;0;0;8;19;0;16;26;5;2;65;28.2;351;137;33;0.049;57;499;0.092;105;0.455;0.013;1;1;2;1;2;4
Brad Marchand;28;CAN;BOS;80;39;46;85;18;LW;5000000;19.4;81;10;1;0;8;0;1;19;22;2;3;41;10;7;141;28.5;628;168;35;0.03;78;1017;0.111;179;0.361;0.02;1;5;3;1;9;17
Alexey Marchenko;24;RUS;DET;41;1;7;8;7;D;1300000;16.9;12;0;0;0;1;0;0;0;2;0;13;3;1;0;17;51.6;392;93;59;0.08;4;304;0.082;104;0;0;0;0;0;0;0;0
Jonathan Marchessault;26;CAN;FLA;75;30;21;51;-21;C;750000;16.9;38;2;0;6;7;2;0;13;10;2;53;39;9;4;76;34.8;604;160;17;0.018;49;764;0.09;149;0.452;0.229;22;31;24;28;76;89
Martin Marincin;24;SVK;TOR;25;1;6;7;3;D;1200000;18;16;0;0;1;0;0;0;0;1;0;11;1;0;0;9;55.2;276;68;27;0.053;2;200;0.1;77;0;0;0;0;0;0;0;0
Andrei Markov;38;RUS;MTL;62;6;30;36;18;D;4250000;21.8;16;0;0;4;0;0;0;2;0;0;38;6;0;0;54;52.6;639;128;73;0.062;3;715;0.091;199;0;0;0;0;0;0;0;0
Patrick Marleau;37;CAN;S.J;82;27;19;46;4;LW;6500000;17.2;28;3;3;0;3;2;2;14;15;14;15;25;11;7;103;25.3;594;142;32;0.027;91;819;0.1;169;0.535;0.149;21;22;36;31;58;47
Mitchell Marner;19;CAN;TOR;77;19;42;61;0;C;925000;16.7;38;0;0;0;8;1;1;9;12;0;11;57;6;1;88;28.6;652;118;39;0.034;64;766;0.11;182;0.378;0.029;3;3;3;5;8;15
